NUMBER,NAME,RATING,STARTER
28-TH-401,BIOX CIL TAILINGS THICKENER,132,DOL
28-PP-422,BIOX CIL TAIL PUMP 1 ST 4,22,DOL
28-PP-417,,,
28-PP-445,PASTE TRANSFER PLANT TRF PUMP ST 1,110,DOL
28-PP-446,PASTE PLANT TRANSFER PUMP ST 2,110,DOL
28-PP-427,,,
28-PP-421,BIOX CIL TAIL PUMP ST 3,22,VSD
28-AG-405,PASTE PLANT STORAGE TANK AGITATOR,75,DOL
28-AG-402,PASTE PLANT TO TANK ONE AGITATOR,7.5,DOL
28-AG-408,AGITATOR,5.5,DOL
28-PP-438,SUMP PUMP,3,DOL
28-PP-436,FLOCCULANT DOZING PUMP 1,3,VSD
28-PP-408,PAST PLANT STORAGE TANK 2 REC PUMP,45,DOL
28-PP-265,PORT WATER PUMP 3,11,DOL
28-PP-407,PASTE PLANT TANK 1 REC PUMP,45,DOL
28-PP-410,BIOX CIL TAIL THICK ULF PUMP 1,160,VSD
28-PP-38,PORT WATER PUMP 1,11,DOL
28-PP-39,PORT WATER PUMP 2,11,DOL
28-PP-402,PASTE PLANT STORAGE TANK 1 AGITATOR,775,DOL
12-EQ-011,EQUIPPED SPARE,55,DOL
11-CV-002,CV 02 CONVEYOR,30,DOL
14-PP-175,TAILS PUMP GCW BOOSTER PUMP 1,7.5,DOL
12-PP-005,MILL FEED END SUMP PUMP,22,DOL
12-PP-003,MILL AREA SUMP PUMP,22,DOL
12-TH-003,EQUIPPED SPARE,7.5,DOL
17-PP-180,HEAT EXCH. WATER PUMP,50,DOL
17-PP-142,RAW WATER PUMP,132,DOL
13-PP-145,PROCESS WATER TANK PUMP,150,DOL
12-EQ-007,EQUIPPED SPARE,55,DOL
17-PP-141,RAW WATER PUMP 1,132,DOL
13-PP-146,PROCESS WATER TANK PUMP,150,DOL
13-PP-16,FLOAT TAILS THICK ULF PUMP,110,DOL
13-PP-026,CONC. THICK UPLOW PUMP 1,55,VSD
13-PP-15,FLOAT TAILS THICK ULF PUMP,110,VSD
13-PP-117,COPPER SULPHATE DOZING PUMP PUMP,1.5,VSD
16-AG-060,CONC. MIXING TANK AGITATOR,2.2,DOL
13-PP-025,CONC. THICKNER SUMP PUMP,5.5,DOL
17-PP-071,SUMP PUMP COMPRESSOR AREA,11,DOL
12-PP-004,MILL AREA SUMP PUMP,22,DOL
12-EQ-014,EQUIPPED SPARE,75,DOL
13-PP-217,REGRIND AREA GSW BOOSTER PUMP 1,5.5,DOL
